Year,Month,Date,Count
2024,Total,,7670
2024,5,Total,210
2024,5,28,8
2024,5,29,23
2024,5,30,83
2024,5,31,96
2024,6,Total,872
2024,6,3,44
2024,6,4,37
2024,6,5,46
2024,6,6,40
2024,6,7,58
2024,6,10,41
2024,6,11,35
2024,6,12,25
2024,6,13,49
2024,6,14,41
2024,6,17,39
2024,6,18,32
2024,6,19,29
2024,6,20,30
2024,6,21,58
2024,6,24,48
2024,6,25,39
2024,6,26,40
2024,6,27,80
2024,6,28,61
2024,7,Total,692
2024,7,1,28
2024,7,2,19
2024,7,3,10
2024,7,4,14
2024,7,5,35
2024,7,8,25
2024,7,9,18
2024,7,10,14
2024,7,11,21
2024,7,12,27
2024,7,15,18
2024,7,16,28
2024,7,17,19
2024,7,18,55
2024,7,19,29
2024,7,22,18
2024,7,23,24
2024,7,24,27
2024,7,25,43
2024,7,26,68
2024,7,29,40
2024,7,30,46
2024,7,31,66
2024,8,Total,969
2024,8,1,28
2024,8,2,28
2024,8,5,29
2024,8,6,23
2024,8,7,16
2024,8,8,28
2024,8,9,38
2024,8,12,24
2024,8,13,18
2024,8,14,18
2024,8,15,24
2024,8,16,32
2024,8,19,67
2024,8,20,43
2024,8,21,51
2024,8,22,45
2024,8,23,81
2024,8,27,91
2024,8,28,82
2024,8,29,67
2024,8,30,136
2024,9,Total,733
2024,9,2,24
2024,9,3,16
2024,9,4,11
2024,9,5,12
2024,9,6,26
2024,9,9,18
2024,9,10,11
2024,9,11,24
2024,9,12,16
2024,9,13,48
2024,9,16,27
2024,9,17,25
2024,9,18,28
2024,9,19,41
2024,9,20,74
2024,9,23,59
2024,9,24,32
2024,9,25,33
2024,9,26,50
2024,9,27,64
2024,9,30,94
2024,10,Total,1623
2024,10,1,31
2024,10,2,48
2024,10,3,45
2024,10,4,91
2024,10,7,71
2024,10,8,66
2024,10,9,44
2024,10,10,68
2024,10,11,78
2024,10,14,68
2024,10,15,60
2024,10,16,55
2024,10,17,46
2024,10,18,74
2024,10,21,74
2024,10,22,57
2024,10,23,53
2024,10,24,85
2024,10,25,106
2024,10,28,104
2024,10,29,78
2024,10,30,106
2024,10,31,115
2024,11,Total,1459
2024,11,1,103
2024,11,4,52
2024,11,5,67
2024,11,6,43
2024,11,7,57
2024,11,8,78
2024,11,11,64
2024,11,12,48
2024,11,13,65
2024,11,14,45
2024,11,15,59
2024,11,18,81
2024,11,19,65
2024,11,20,63
2024,11,21,66
2024,11,22,78
2024,11,25,103
2024,11,26,60
2024,11,27,63
2024,11,28,88
2024,11,29,111
2024,12,Total,1112
2024,12,2,73
2024,12,3,61
2024,12,4,53
2024,12,5,53
2024,12,6,50
2024,12,9,37
2024,12,10,36
2024,12,11,51
2024,12,12,58
2024,12,13,55
2024,12,16,54
2024,12,17,35
2024,12,18,62
2024,12,19,65
2024,12,20,66
2024,12,23,66
2024,12,24,36
2024,12,27,58
2024,12,30,70
2024,12,31,73
2025,Total,,12465
2025,1,Total,1393
2025,1,2,58
2025,1,3,61
2025,1,6,76
2025,1,7,55
2025,1,8,43
2025,1,9,47
2025,1,10,67
2025,1,13,65
2025,1,14,67
2025,1,15,56
2025,1,16,46
2025,1,17,72
2025,1,20,57
2025,1,21,53
2025,1,22,55
2025,1,23,52
2025,1,24,79
2025,1,27,76
2025,1,28,68
2025,1,29,50
2025,1,30,77
2025,1,31,113
2025,2,Total,1225
2025,2,3,53
2025,2,4,55
2025,2,5,55
2025,2,6,54
2025,2,7,75
2025,2,10,57
2025,2,11,39
2025,2,12,14
2025,2,13,49
2025,2,14,70
2025,2,17,64
2025,2,18,46
2025,2,19,47
2025,2,20,57
2025,2,21,66
2025,2,24,83
2025,2,25,61
2025,2,26,51
2025,2,27,99
2025,2,28,130
2025,3,Total,1522
2025,3,3,78
2025,3,4,69
2025,3,5,72
2025,3,6,67
2025,3,7,70
2025,3,10,67
2025,3,11,46
2025,3,12,48
2025,3,13,58
2025,3,14,80
2025,3,17,70
2025,3,18,59
2025,3,19,49
2025,3,20,58
2025,3,21,79
2025,3,24,85
2025,3,25,77
2025,3,26,64
2025,3,27,78
2025,3,28,118
2025,3,31,130
2025,4,Total,1585
2025,4,1,67
2025,4,2,57
2025,4,3,67
2025,4,4,69
2025,4,7,65
2025,4,8,56
2025,4,9,47
2025,4,10,54
2025,4,11,102
2025,4,14,95
2025,4,15,75
2025,4,16,66
2025,4,17,72
2025,4,22,58
2025,4,23,72
2025,4,24,87
2025,4,25,148
2025,4,28,90
2025,4,29,88
2025,4,30,150
2025,5,Total,1569
2025,5,1,82
2025,5,2,91
2025,5,6,76
2025,5,7,71
2025,5,8,51
2025,5,9,79
2025,5,12,51
2025,5,13,50
2025,5,14,62
2025,5,15,65
2025,5,16,79
2025,5,19,80
2025,5,20,73
2025,5,21,61
2025,5,22,79
2025,5,23,88
2025,5,27,86
2025,5,28,98
2025,5,29,96
2025,5,30,151
2025,6,Total,1453
2025,6,2,62
2025,6,3,45
2025,6,4,53
2025,6,5,55
2025,6,6,62
2025,6,9,67
2025,6,10,57
2025,6,11,48
2025,6,12,62
2025,6,13,100
2025,6,16,106
2025,6,17,61
2025,6,18,52
2025,6,19,35
2025,6,20,63
2025,6,23,75
2025,6,24,57
2025,6,25,78
2025,6,26,83
2025,6,27,106
2025,6,30,126
2025,7,Total,1625
2025,7,1,88
2025,7,2,61
2025,7,3,52
2025,7,4,73
2025,7,7,63
2025,7,8,68
2025,7,9,66
2025,7,10,70
2025,7,11,64
2025,7,14,55
2025,7,15,64
2025,7,16,48
2025,7,17,43
2025,7,18,86
2025,7,21,66
2025,7,22,50
2025,7,23,64
2025,7,24,75
2025,7,25,113
2025,7,28,81
2025,7,29,71
2025,7,30,83
2025,7,31,121
2025,8,Total,1408
2025,8,1,82
2025,8,4,75
2025,8,5,63
2025,8,6,59
2025,8,7,61
2025,8,8,71
2025,8,11,74
2025,8,12,51
2025,8,13,53
2025,8,14,66
2025,8,15,65
2025,8,18,85
2025,8,19,43
2025,8,20,58
2025,8,21,82
2025,8,22,103
2025,8,26,64
2025,8,27,62
2025,8,28,88
2025,8,29,103
2025,9,Total,685
2025,9,1,68
2025,9,2,56
2025,9,3,51
2025,9,4,73
2025,9,5,69
2025,9,8,72
2025,9,9,58
2025,9,10,64
2025,9,11,47
2025,9,12,81
2025,9,15,46
Total,,,20135
,,,
"Applied filters:
NoteCategoryID is 92",,,
